OBSID,rmid,lambda,Lx,Z,MEM_MATCH_ID
0066950201,38542,56.584915,1.15822e+44,0.582825,38542
0502480701,38798,33.290565,1.09539e+43,0.44473615,38798
0653810501,38935,24.457937,7.11053e+42,0.3653241,38935
0200430201,39204,33.900764,1.9492900000000001e+43,0.48282263,39204
0140960101,39839,25.96818,1.84277e+42,0.340258,39839
0693750401,40250,33.443115,5.842040000000001e+42,0.47110692,40250
0655343842,40293,31.30742,1.5573400000000001e+43,0.5081242,40293
0112551401,40545,30.956556,3.63283e+43,0.4018866,40545
0106460101,41005,29.568354,8.478790000000001e+42,0.3967668,41005
0673150201,41310,28.088621000000003,1.0592200000000001e+43,0.40933225,41310
0747420144,41635,21.590002,1.2871700000000001e+43,0.3857261,41635
0401040101,42518,54.15937,8.77883e+42,0.5582271,42518
0763911301,42728,41.284172,2.34437e+43,0.50463784,42728
0147110101,43624,46.608162,3.29073e+43,0.52516735,43624
0700180201,43704,21.315413,2.38535e+43,0.43412176,43704
0305751001,43981,27.905561,4.2017900000000004e+45,0.4927877000000001,43981
0673150101,44024,23.32907,3.219e+42,0.3903969,44024
0693661101,44154,22.123926,5.1029800000000005e+42,0.593801,44154
0501540201,44248,23.512129,1.8212300000000002e+43,0.42625162,44248
0652401001,44423,29.263254,8.51388e+42,0.45562857,44423
0602200301,44486,23.832483,1.83989e+43,0.40593728,44486
0677180101,44593,24.000288,6.40251e+42,0.372448,44593
0151400201,44962,21.239138,8.10072e+42,0.37884855,44962
0212480701,45423,38.797615,3.81992e+42,0.46779186,45423
0677610137,45542,41.39096,6.79076e+43,0.5755654,45542
0012440101,46077,26.883478000000004,7.87544e+42,0.41358128,46077
0765001101,46088,29.202234000000004,7.84453e+42,0.43651086,46088
0650384101,46730,52.420303,6.34464e+43,0.55717087,46730
0502500101,47108,45.891174,6.456640000000001e+42,0.44356564,47108
0112551401,47416,22.154436,2.69946e+43,0.36740762,47416
0035940201,47940,23.390089,2.0771200000000002e+43,0.53098315,47940
0502780601,48035,42.291,1.24548e+43,0.55791485,48035
0742830151,48063,22.38326,5.3364000000000004e+42,0.39996937,48063
0747400139,48148,26.486849,4.80004e+43,0.43445835,48148
0780790301,49334,21.040823,1.52777e+43,0.3879914,49334
0784450501,49356,35.65509,1.68731e+43,0.5163622999999999,49356
0205390301,49459,22.825655,5.89806e+42,0.5093521,49459
0504100601,49920,28.21066,4.61386e+42,0.42816877,49920
0603500701,50614,35.304222,1.12874e+43,0.53763974,50614
0151270201,51293,23.222284,1.95513e+43,0.4152774,51293
0301651701,51643,47.00479,5.04167e+43,0.54378635,51643
0304071801,51817,25.32747,2.4051800000000003e+43,0.54722446,51817
0304071301,52064,43.08426,6.7638e+43,0.5097951000000001,52064
0652010401,52092,27.844542,1.19677e+43,0.5139429,52092
0501540201,53597,21.559492,1.17385e+43,0.3873446,53597
0504101501,53832,37.897568,4.92268e+43,0.54342586,53832
0303561601,54188,32.649857,2.1172900000000002e+44,0.47543803,54188
0724790933,55137,39.590874,7.532700000000001e+42,0.52260995,55137
0200430201,55271,29.415804,3.2334800000000003e+43,0.44944936,55271
0403190901,55412,38.873886,1.73717e+43,0.5038495,55412
0201010101,56766,29.934473,1.4875500000000001e+43,0.47644576,56766
0149880101,56897,20.934038,3.6153e+42,0.5209782000000001,56897
0720252401,56924,22.734125,2.75865e+43,0.39181513,56924
0205390301,56937,36.50937,7.138090000000001e+42,0.5454821999999999,56937
0742830142,57542,26.441084000000004,2.85783e+42,0.50144017,57542
0150620101,57880,50.360886,1.6038200000000002e+43,0.570409,57880
0650380401,60040,35.60932000000001,5.01923e+43,0.427382,60040
0108670201,61693,31.841345,9.325040000000001e+42,0.48409456,61693
0747420138,61979,20.339094,3.04105e+42,0.38587615,61979
0200430201,62406,23.390089,2.38339e+43,0.44174474,62406
0304570101,63274,22.337496,5.03393e+43,0.4162804,63274
0677640137,63350,22.123926,1.21201e+44,0.4124233,63350
0651280101,63550,21.925611,2.64428e+42,0.305843,63550
0785102301,63919,30.041258000000006,3.97993e+42,0.47354952,63919
0721740101,64014,29.629374,1.54696e+43,0.5178654,64014
0411980501,64468,23.420599,3.58278e+43,0.39410385,64468
0152530101,65109,25.556295,6.033420000000001e+42,0.4220710999999999,65109
0693661301,65536,47.233612,5.0549000000000004e+42,0.59091836,65536
0148740101,66219,26.21226,1.00278e+44,0.53943545,66219
0112850101,67029,29.629374,6.115960000000001e+42,0.46955246,67029
0677600136,67245,22.53581,2.51295e+42,0.37685215,67245
0741031501,68212,21.361177,6.735360000000001e+43,0.47788805,68212
0556210201,68328,29.797178,3.9063600000000004e+43,0.43395713,68328
0795711401,68332,21.605257,9.438500000000001e+42,0.43804434,68332
0674360101,68535,20.918783,3.3193700000000003e+42,0.37901893,68535
0671640801,70051,25.48002,4.5208e+42,0.45767984,70051
0693010301,70740,28.866625,1.05177e+43,0.4966075,70740
0744411801,70868,34.724533,2.7309200000000003e+42,0.43757787,70868
0724441001,71133,27.890306,2.26084e+43,0.47247443,71133
0690470201,71645,32.588837,2.15877e+43,0.5795616,71645
0201470101,71747,27.097048,1.9455e+43,0.50346273,71747
0405860101,72414,27.356382,3.02688e+43,0.44331825,72414
0067340601,73445,32.329506,8.87398e+42,0.45333025,73445
0673180201,73626,40.002754,1.23887e+43,0.5319218000000001,73626
0504101501,73801,25.464766,1.2894e+43,0.5116890000000001,73801
0677681232,73958,29.766668,1.4553400000000002e+43,0.41164818,73958
0677610132,74170,31.963385,2.0968e+43,0.48423448,74170
0060370901,74803,32.024406,2.13008e+43,0.45767194,74803
0783670101,75040,35.334732,6.44523e+42,0.5055784999999999,75040
0765081001,75920,24.015543,9.738220000000001e+42,0.42834958,75920
0085030101,75977,25.87665,6.30062e+43,0.43855006,75977
0763910501,76028,31.627775,7.86397e+43,0.5013889,76028
0106060501,76763,36.66192,9.457240000000001e+42,0.4920071,76763
0693661401,76915,24.885077,8.223780000000001e+42,0.48661962,76915
0655340138,77738,31.444715,9.67324e+43,0.49133858,77738
0048740101,78719,26.639399,6.66049e+42,0.44364032,78719
0300890101,78860,39.331535,4.6835700000000004e+42,0.56173766,78860
0677640136,80098,29.019175,2.94823e+43,0.51032484,80098
0601780801,80416,21.818827,5.0948100000000004e+42,0.50194144,80416
0504101401,80800,23.801973,9.45209e+42,0.44675645,80800
0200020101,80855,30.575182,3.31015e+43,0.51485795,80855
0203390801,81370,34.480453000000004,2.0865900000000001e+43,0.48395273,81370
0111282601,81379,24.152838,1.2631700000000001e+43,0.45223767,81379
0404240101,81971,31.932875,2.95381e+43,0.52314794,81971
0677610132,82317,24.595232,2.59911e+43,0.44510242,82317
0502790201,82455,21.757807,2.4697e+43,0.4098826,82455
0602200201,82838,22.734125,7.454800000000001e+42,0.4758439,82838
