  obsid       rmid     lambda               Lx           Z                     MEM_MATCH_ID   Xreg_HiBk   Xreg_Support   Xreg_OutOTime
  300530501   120437   29.080194            6.7814E43    0.52861726            120437         0.0         0.0            0.0            
  401270301   120449   26.0292              3.09702E43   0.4952388             120449         0.0         0.0            0.0            
  65140201    124305   23.359579999999998   5.59286E42   0.44918776            124305         0.0         0.0            0.0            
  400830301   124465   21.193373            7.9744E42    0.52736306            124465         0.0         0.0            0.0            
  722140401   124569   23.023970000000002   1.10955E43   0.5349662             124569         0.0         0.0            0.0            
  112240301   124755   22.001886            9.59177E42   0.41946277            124755         0.0         0.0            0.0            
  556212101   124994   26.18175             3.61899E43   0.44381517            124994         0.0         0.0            0.0            
  503490201   126870   22.230711            2.23177E42   0.43235013            126870         0.0         0.0            0.0            
  555060501   126937   23.664679            3.24495E43   0.55453306            126937         0.0         0.0            0.0            
  503600201   127765   28.347956            1.14309E43   0.53018636            127765         0.0         0.0            0.0            
  103460801   128915   20.232310000000002   1.41666E44   0.43220612            128915         0.0         0.0            0.0            
  12440101    138488   24.137583            1.11113E43   0.47965053            138488         0.0         0.0            0.0            
  679181401   139356   21.559492000000002   2.45358E43   0.56501675            139356         0.0         0.0            0.0            
  783520501   139378   20.308584            8.01834E42   0.48045879999999996   139378         0.0         0.0            0.0            
  404968001   139578   20.491644            3.56218E43   0.51431584            139578         0.0         0.0            0.0            
  405200101   140524   24.168093            7.88769E42   0.55468535            140524         0.0         0.0            0.0            
  502690601   140713   24.351152            7.28679E42   0.48399177            140713         0.0         0.0            0.0            
  784521101   140841   20.888273            1.99448E43   0.49392763            140841         0.0         0.0            0.0            
  692330401   140919   28.408976000000003   1.00899E42   0.51502585            140919         0.0         0.0            0.0            
  551630301   144097   20.293329999999997   6.71136E43   0.5294418000000001    144097         0.0         0.0            0.0            
  152860101   144744   20.827253            5.62579E42   0.43021217            144744         0.0         0.0            0.0            
  306680201   145064   27.310616999999997   6.10381E42   0.5130008             145064         0.0         0.0            0.0            
  112520101   145586   22.99346             1.09054E43   0.5087878             145586         0.0         0.0            0.0            
  147110201   145638   25.022371            3.04181E43   0.50495344            145638         0.0         0.0            0.0            
  143650701   146297   20.644194            2.62438E43   0.5530793             146297         0.0         0.0            0.0            
  691010901   146632   25.861395            2.57152E43   0.5471050000000001    146632         0.0         0.0            0.0            
  304160301   147682   20.796743            1.51493E43   0.4500535             147682         0.0         0.0            0.0            
  744390301   148131   26.944498            1.76577E43   0.53901434            148131         0.0         0.0            0.0            
  551830201   152578   25.90716             2.62081E42   0.5188282             152578         0.0         0.0            0.0            
  723801501   152598   25.525785            1.62043E43   0.5226581             152598         0.0         0.0            0.0            
  300210701   156375   28.79035             1.12339E43   0.5293736             156375         0.0         0.0            0.0            
  653450501   162525   30.010748            1.12883E43   0.54861486            162525         0.0         0.0            0.0            
  61740101    166169   21.483217            3.61802E43   0.5220259             166169         0.0         0.0            0.0            
  720340301   166273   22.41377             8.37581E42   0.4904992             166273         0.0         0.0            0.0            
  205190201   167202   20.583174            1.0772E43    0.48231450000000003   167202         0.0         0.0            0.0            
  92850101    169307   22.642595            1.00963E43   0.5044138             169307         0.0         0.0            0.0            
  677182201   170937   31.139615999999997   8.70125E43   0.56704706            170937         0.0         0.0            0.0            
  37980701    171281   24.976606            8.13822E42   0.5511766             171281         0.0         0.0            0.0            
  551830201   173132   23.588404            2.64158E42   0.5543289             173132         0.0         0.0            0.0            
  743900401   173494   25.312216            8.77494E42   0.5565150999999999    173494         0.0         0.0            0.0            
  554540201   177642   22.886675            4.81404E42   0.5013645             177642         0.0         0.0            0.0            
  723800301   178234   20.796743            3.77849E42   0.47726992            178234         0.0         0.0            0.0            
  152860101   178445   20.38486             7.26686E42   0.4857518             178445         0.0         0.0            0.0            
  724791331   180326   21.879847            3.00567E43   0.50531507            180326         0.0         0.0            0.0            
  107860201   180906   21.727297            7.7261E42    0.5732403             180906         0.0         0.0            0.0            
  693661101   181766   22.291729999999998   1.12123E43   0.5151918             181766         0.0         0.0            0.0            
  85030101    184463   25.251196            6.54183E43   0.55543125            184463         0.0         0.0            0.0            
  210490101   184782   27.417402000000003   2.54887E42   0.5467273             184782         0.0         0.0            0.0            
  502430301   187983   25.434256            7.26245E42   0.51297903            187983         0.0         0.0            0.0            
  677681232   188200   20.537409            3.37853E44   0.5102749             188200         0.0         0.0            0.0            
  764100601   193170   24.168093            8.97174E42   0.5639576             193170         0.0         0.0            0.0            
  654440101   195443   21.071333            4.1672E42    0.47404589999999996   195443         0.0         0.0            0.0            
  740620301   196788   20.949293            5.42838E42   0.5512439             196788         0.0         0.0            0.0            
  404190101   201906   20.247564            8.23267E42   0.5305631             201906         0.0         0.0            0.0            
  201090401   203510   21.086588            1.65785E43   0.5312014             203510         0.0         0.0            0.0            
  112230201   208540   23.17652             7.47547E42   0.56433946            208540         0.0         0.0            0.0            
  600450301   209904   24.656252            1.32781E43   0.532633              209904         0.0         0.0            0.0            
  112370301   211209   21.147607999999998   3.902E42     0.5136367999999999    211209         0.0         0.0            0.0            
  148560501   217135   20.415369000000002   7.30259E42   0.5289908             217135         0.0         0.0            0.0            
  504480301   217660   24.900331            6.6098E42    0.53489125            217660         0.0         0.0            0.0            
  112830201   227176   21.925611            8.51185E42   0.5728554             227176         0.0         0.0            0.0            
  106460101   229566   27.798777            9.49211E42   0.54386073            229566         0.0         0.0            0.0            
  550960301   232796   20.796743            9.46807E42   0.49287748            232796         0.0         0.0            0.0            
  402750601   244828   21.651022            9.60475E42   0.46667936            244828         0.0         0.0            0.0            
  153030101   246814   28.759840000000004   6.09549E43   0.57335687            246814         0.0         0.0            0.0            
  745320101   248678   20.522154            1.09363E43   0.5269583999999999    248678         0.0         0.0            0.0            
  693430401   253257   20.064505            9.31096E42   0.5200904000000001    253257         0.0         0.0            0.0            
  201750201   264012   22.38326             5.14881E42   0.5509951999999999    264012         0.0         0.0            0.0            
  601780801   277190   20.827253            1.45872E43   0.5299058000000001    277190         0.0         0.0            0.0            
  723260201   282728   24.198603            9.45213E42   0.48848772            282728         0.0         0.0            0.0            
  402830101   289019   22.38326             5.69085E42   0.5695520000000001    289019         0.0         0.0            0.0            
  782500201   292793   20.781488            7.01654E42   0.5444184             292793         0.0         0.0            0.0            
  722660201   296582   20.400114000000002   7.5575E42    0.54194325            296582         0.0         0.0            0.0            
  403100101   297341   20.857763000000002   1.8025E42    0.5209590000000001    297341         0.0         0.0            0.0            
  553300401   313034   25.44951             2.59738E42   0.52923506            313034         0.0         0.0            0.0            
  651780401   318646   22.47479             2.58187E43   0.5125069             318646         0.0         0.0            0.0            
  790380901   326846   20.07976             7.2603E42    0.52233374            326846         0.0         0.0            0.0            
  762920201   333579   20.491644            1.24482E43   0.5592188             333579         0.0         0.0            0.0            
  112371001   341223   20.04925             6.4069E42    0.51927185            341223         0.0         0.0            0.0            
  724030101   347756   22.184946            8.16021E42   0.5621012             347756         0.0         0.0            0.0            
  693430401   359940   21.544237            6.92494E42   0.5518223000000001    359940         0.0         0.0            0.0            
  403100101   361705   25.617314999999998   2.89477E42   0.5380568             361705         0.0         0.0            0.0            
  202180201   398136   23.771463            2.11705E42   0.5164372             398136         0.0         0.0            0.0            
  693010801   471117   20.14078             9.18919E42   0.5599064             471117         0.0         0.0            0.0            
  553870101   493629   21.986631            2.14212E42   0.5469841             493629         0.0         0.0            0.0            
  501010101   1508     63.373375            3.16264E45   0.27234572            1508           ""          ""             ""             
  651790101   2190     86.22533             4.24081E43   0.3971565             2190           ""          ""             ""             
  747390143   4421     46.989532000000004   4.71775E42   0.26503098            4421           ""          ""             ""             
  404967001   5542     59.98676999999999    1.43041E43   0.43191797            5542           ""          ""             ""             
  111270101   5568     24.717272            4.10841E42   0.22767924            5568           ""          ""             ""             
  693010101   6047     30.529417            7.57276E42   0.35762793            6047           ""          ""             ""             
  742510701   6576     33.305824            1.14528E45   0.29901165            6576           ""          ""             ""             
  674660201   11885    75.08919499999999    1.32588E43   0.5275486             11885          ""          ""             ""             
  202770301   12376    41.650290000000005   3.08634E43   0.4020296             12376          ""          ""             ""             
  747390144   12831    29.400548999999998   8.50008E42   0.26245114            12831          ""          ""             ""             
  677630134   13616    28.48525             1.11619E43   0.30441907            13616          ""          ""             ""             
  673000132   13727    27.707247            2.08672E43   0.34893528            13727          ""          ""             ""             
  200650101   14435    39.545105            6.21585E42   0.37892947            14435          ""          ""             ""             
  110990201   14498    34.358414            1.08896E43   0.36674014            14498          ""          ""             ""             
  655800501   15045    49.201508000000004   3.10522E43   0.47012135            15045          ""          ""             ""             
  722530101   17350    25.63257             8.79428E42   0.30523765            17350          ""          ""             ""             
  83240201    17739    44.518227            3.0366E43    0.47838852            17739          ""          ""             ""             
  106061301   17843    53.884780000000006   2.65883E43   0.47705847            17843          ""          ""             ""             
  401270401   18443    22.62734             3.77053E42   0.26980698            18443          ""          ""             ""             
  655346842   18692    24.351152            1.35848E43   0.26586705            18692          ""          ""             ""             
  763300101   19217    35.42626             8.0246E42    0.40006440000000004   19217          ""          ""             ""             
  148742101   19770    27.630971999999996   2.51812E43   0.35518384            19770          ""          ""             ""             
  650380601   19981    35.45677             4.6341E42    0.38480294            19981          ""          ""             ""             
  551720101   20002    46.287804            1.28703E43   0.48881105            20002          ""          ""             ""             
  650382001   20039    24.396917000000002   7.92471E42   0.33512938            20039          ""          ""             ""             
  655380601   20669    34.114334            7.19041E43   0.393421              20669          ""          ""             ""             
  202870201   21754    25.7241              8.89306E42   0.37426534            21754          ""          ""             ""             
  83240201    22096    28.653055            2.86889E43   0.54656875            22096          ""          ""             ""             
  725290152   22131    35.82289             2.06835E43   0.49185616            22131          ""          ""             ""             
  201900101   22263    29.705647999999997   6.28689E42   0.3996159             22263          ""          ""             ""             
  693661701   22605    21.254393            6.28141E42   0.26516032            22605          ""          ""             ""             
  742830145   22650    30.468396999999996   2.64526E43   0.42741019999999996   22650          ""          ""             ""             
  551720101   22902    32.100677000000005   6.90427E42   0.3922084             22902          ""          ""             ""             
  720340301   22923    69.810974            2.01213E43   0.5549158000000001    22923          ""          ""             ""             
  37981201    23069    38.873886            2.82495E43   0.44435024            23069          ""          ""             ""             
  650382401   23314    31.61252             2.09926E43   0.5555185             23314          ""          ""             ""             
  401920101   23338    26.959753000000003   6.17649E42   0.31229115            23338          ""          ""             ""             
  306050701   24793    24.000288            1.30304E42   0.23442878            24793          ""          ""             ""             
  782420301   25911    20.583174            1.05214E43   0.34669083            25911          ""          ""             ""             
  81340801    26522    27.844541999999997   6.54675E42   0.38709992            26522          ""          ""             ""             
  655570701   28360    20.064505            8.68434E43   0.472954              28360          ""          ""             ""             
  673002331   28506    44.213127            4.18855E43   0.5045954             28506          ""          ""             ""             
  204630301   28979    29.400548999999998   9.91356E42   0.42075622            28979          ""          ""             ""             
  150620101   29138    23.649424            2.49441E42   0.31485227            29138          ""          ""             ""             
  112551101   29166    24.122328            1.30446E43   0.35233262            29166          ""          ""             ""             
  203170301   29221    28.805605            9.74377E42   0.39289227            29221          ""          ""             ""             
  741031301   29572    24.595232            1.45838E43   0.37652022            29572          ""          ""             ""             
  504101301   30194    36.189009999999996   9.24274E42   0.47752380000000005   30194          ""          ""             ""             
  303110101   31012    40.063774            2.18012E43   0.5161773000000001    31012          ""          ""             ""             
  112190401   31699    23.17652             7.19323E42   0.3402106             31699          ""          ""             ""             
  747440136   31972    25.083391            2.91408E43   0.39163858            31972          ""          ""             ""             
  91140401    32256    30.498907            3.40059E42   0.3711359             32256          ""          ""             ""             
  742830151   32602    20.705214            2.675E42     0.3957943             32602          ""          ""             ""             
  504101301   33243    29.522589            9.01953E42   0.50325453            33243          ""          ""             ""             
  305920401   33453    37.31788             4.7043E42    0.39974824            33453          ""          ""             ""             
  747190631   33833    27.890306            9.13713E42   0.40013704            33833          ""          ""             ""             
  556210401   33971    28.36321             1.55027E43   0.41643846            33971          ""          ""             ""             
